,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,08/13,16,Economic,Local,SOLR,6,33
0,08/14,4,Economic,Local,WIND,1,6
1,08/14,11,Economic,System,SOLR,5,57
2,08/14,12,Economic,Local,SOLR,5,59
0,08/15,12,Economic,Local,SOLR,17,124
1,08/15,13,Economic,Local,SOLR,6,41
2,08/15,16,Economic,Local,SOLR,13,151
0,08/16,12,Economic,Local,SOLR,32,376.0
1,08/16,13,Economic,Local,SOLR,322,453.0
2,08/16,13,SelfSchCut,Local,WIND,0,
3,08/16,14,Economic,Local,SOLR,474,802.0
4,08/16,15,Economic,Local,SOLR,349,456.0
5,08/16,16,Economic,Local,SOLR,179,421.0
6,08/16,16,SelfSchCut,Local,WIND,4,
7,08/16,17,Economic,Local,SOLR,61,274.0
8,08/16,17,SelfSchCut,Local,WIND,2,11.0
9,08/16,18,Economic,Local,SOLR,4,16.0
10,08/16,19,Economic,Local,SOLR,23,64.0
11,08/16,20,Economic,Local,SOLR,2,18.0
0,08/17,10,Economic,Local,WIND,1,15
1,08/17,11,Economic,Local,SOLR,4,40
2,08/17,12,Economic,Local,SOLR,1,7
3,08/17,16,Economic,Local,WIND,2,25
0,08/18,9,Economic,Local,WIND,1,17
1,08/18,10,Economic,System,WIND,9,12
2,08/18,12,Economic,Local,WIND,2,27
3,08/18,13,Economic,Local,SOLR,34,98
4,08/18,14,Economic,Local,SOLR,110,130
5,08/18,15,Economic,Local,SOLR,11,85
0,08/19,9,Economic,Local,WIND,3,28
1,08/19,10,Economic,Local,WIND,6,51
0,08/21,2,Economic,Local,WIND,17,70.0
1,08/21,5,Economic,Local,WIND,1,6.0
2,08/21,7,Economic,Local,WIND,4,49.0
3,08/21,9,Economic,Local,SOLR,27,89.0
4,08/21,10,Economic,Local,SOLR,56,116.0
5,08/21,10,Economic,Local,WIND,4,23.0
6,08/21,11,Economic,Local,SOLR,242,271.0
7,08/21,11,Economic,Local,WIND,1,
8,08/21,12,Economic,Local,SOLR,168,375.0
9,08/21,12,SelfSchCut,Local,SOLR,8,96.0
10,08/21,13,Economic,Local,SOLR,233,284.0
11,08/21,13,Economic,Local,WIND,3,
12,08/21,14,Economic,Local,SOLR,249,295.0
13,08/21,15,Economic,Local,SOLR,180,292.0
0,08/22,6,Economic,Local,WIND,1,8
1,08/22,7,Economic,Local,WIND,3,33
2,08/22,14,Economic,System,SOLR,0,5
3,08/22,22,Economic,Local,WIND,1,6
0,08/23,7,Economic,Local,WIND,6,34
1,08/23,8,Economic,Local,WIND,1,5
0,08/24,8,Economic,Local,SOLR,0,2.0
1,08/24,8,Economic,Local,WIND,20,146.0
2,08/24,9,Economic,Local,SOLR,92,266.0
3,08/24,9,Economic,Local,WIND,9,
4,08/24,10,Economic,Local,SOLR,0,
5,08/24,10,Economic,Local,WIND,3,31.0
6,08/24,11,Economic,Local,WIND,2,21.0
0,08/25,1,Economic,Local,WIND,0,4
0,08/26,13,Economic,System,SOLR,1,12
1,08/26,23,Economic,Local,WIND,4,28
2,08/26,24,Economic,Local,WIND,19,69
0,08/27,1,Economic,Local,WIND,18,44.0
1,08/27,11,Economic,System,SOLR,1,11.0
2,08/27,12,Economic,Local,SOLR,35,
3,08/27,12,Economic,Local,WIND,1,
4,08/27,12,Economic,System,SOLR,112,410.0
5,08/27,12,Economic,System,WIND,4,11.0
6,08/27,13,Economic,Local,SOLR,146,349.0
7,08/27,13,Economic,Local,WIND,1,3.0
8,08/27,13,Economic,System,SOLR,26,85.0
9,08/27,13,Economic,System,WIND,4,17.0
10,08/27,14,Economic,Local,WIND,2,9.0
11,08/27,14,Economic,System,SOLR,6,12.0
12,08/27,15,Economic,Local,WIND,1,16.0
13,08/27,15,Economic,System,SOLR,0,
14,08/27,19,Economic,Local,WIND,15,84.0
15,08/27,20,Economic,Local,WIND,107,154.0
16,08/27,21,Economic,Local,WIND,87,100.0
17,08/27,22,Economic,Local,WIND,54,67.0
18,08/27,23,Economic,Local,WIND,9,43.0
19,08/27,24,Economic,Local,WIND,0,2.0
0,08/28,1,Economic,Local,WIND,0,2.0
1,08/28,5,Economic,Local,WIND,0,4.0
2,08/28,8,Economic,System,SOLR,27,161.0
3,08/28,8,Economic,System,WIND,9,45.0
4,08/28,9,Economic,Local,SOLR,273,693.0
5,08/28,9,Economic,Local,WIND,2,1.0
6,08/28,10,Economic,Local,SOLR,458,669.0
7,08/28,10,Economic,Local,WIND,0,
8,08/28,10,Economic,System,SOLR,4,
9,08/28,10,Economic,System,WIND,0,
10,08/28,11,Economic,Local,SOLR,55,211.0
11,08/28,11,Economic,System,SOLR,0,
12,08/28,12,Economic,Local,SOLR,71,419.0
13,08/28,12,Economic,Local,WIND,0,1.0
0,08/29,7,Economic,Local,WIND,32,48
1,08/29,8,Economic,Local,WIND,13,55
2,08/29,9,Economic,Local,WIND,3,13
3,08/29,10,Economic,Local,WIND,1,7
0,08/30,7,Economic,Local,WIND,3,31
1,08/30,13,Economic,Local,WIND,2,23
2,08/30,24,Economic,Local,WIND,5,28
0,08/31,9,Economic,System,WIND,44,67.0
1,08/31,10,Economic,System,SOLR,17,193.0
2,08/31,10,Economic,System,WIND,1,9.0
3,08/31,13,Economic,Local,WIND,4,
4,08/31,13,Economic,System,WIND,19,47.0
5,08/31,14,Economic,Local,WIND,39,75.0
6,08/31,15,Economic,Local,WIND,41,80.0
7,08/31,15,SelfSchCut,Local,SOLR,5,10.0
8,08/31,16,Economic,Local,WIND,14,92.0
9,08/31,16,SelfSchCut,Local,SOLR,0,4.0
10,08/31,17,Economic,Local,WIND,0,6.0
11,08/31,22,Economic,Local,WIND,2,22.0
0,09/01,9,Economic,System,SOLR,21,252.0
1,09/01,9,Economic,System,WIND,1,15.0
2,09/01,10,Economic,Local,SOLR,26,94.0
3,09/01,10,Economic,System,WIND,0,
4,09/01,11,Economic,Local,SOLR,93,142.0
5,09/01,11,Economic,System,WIND,2,
6,09/01,11,SelfSchCut,Local,SOLR,0,
7,09/01,12,Economic,Local,SOLR,113,127.0
8,09/01,13,Economic,Local,SOLR,52,76.0
9,09/01,14,Economic,Local,SOLR,6,59.0
10,09/01,15,Economic,Local,SOLR,38,110.0
11,09/01,16,Economic,Local,SOLR,15,53.0
0,09/02,9,Economic,System,SOLR,0,1
0,09/03,2,Economic,Local,WIND,0,1
1,09/03,12,Economic,Local,SOLR,0,2
2,09/03,12,Economic,Local,WIND,12,74
0,09/04,8,Economic,Local,SOLR,4,49.0
1,09/04,8,Economic,Local,WIND,17,121.0
2,09/04,9,Economic,Local,SOLR,86,
3,09/04,9,Economic,Local,WIND,3,5.0
4,09/04,9,Economic,System,SOLR,97,380.0
5,09/04,9,Economic,System,WIND,41,106.0
6,09/04,10,Economic,Local,SOLR,15,98.0
7,09/04,10,Economic,Local,WIND,39,87.0
8,09/04,11,Economic,Local,SOLR,369,518.0
9,09/04,11,Economic,Local,WIND,39,66.0
10,09/04,11,Economic,System,SOLR,3,
11,09/04,12,Economic,Local,SOLR,569,755.0
12,09/04,12,Economic,Local,WIND,9,8.0
13,09/04,13,Economic,Local,SOLR,540,821.0
14,09/04,13,Economic,Local,WIND,40,61.0
15,09/04,14,Economic,Local,SOLR,429,540.0
16,09/04,14,Economic,Local,WIND,36,10.0
17,09/04,15,Economic,Local,SOLR,360,541.0
18,09/04,15,Economic,Local,WIND,26,10.0
19,09/04,16,Economic,Local,SOLR,146,396.0
20,09/04,16,Economic,Local,WIND,13,
21,09/04,16,Economic,System,SOLR,3,
22,09/04,16,Economic,System,WIND,3,
23,09/04,17,Economic,Local,SOLR,2,5.0
24,09/04,17,Economic,Local,WIND,46,154.0
25,09/04,17,Economic,System,SOLR,4,19.0
0,09/05,9,Economic,Local,SOLR,38,236.0
1,09/05,9,Economic,Local,WIND,10,64.0
2,09/05,9,Economic,System,SOLR,54,71.0
3,09/05,9,Economic,System,WIND,28,3.0
4,09/05,10,Economic,Local,SOLR,36,226.0
5,09/05,10,Economic,Local,WIND,28,50.0
6,09/05,10,Economic,System,SOLR,1,
7,09/05,11,Economic,Local,SOLR,26,149.0
8,09/05,11,Economic,Local,WIND,17,38.0
9,09/05,12,Economic,Local,SOLR,3,31.0
10,09/05,12,Economic,Local,WIND,4,33.0
11,09/05,15,Economic,Local,WIND,16,72.0
0,09/06,10,Economic,Local,WIND,1,10
0,09/07,9,Economic,System,SOLR,0,0.0
1,09/07,11,Economic,Local,WIND,1,13.0
2,09/07,11,Economic,System,WIND,0,
3,09/07,14,Economic,Local,WIND,1,5.0
4,09/07,16,Economic,Local,WIND,8,45.0
0,09/08,1,Economic,Local,WIND,21,249
1,09/08,2,Economic,Local,WIND,125,252
2,09/08,3,Economic,Local,WIND,130,283
3,09/08,4,Economic,Local,WIND,0,0
4,09/08,7,Economic,Local,WIND,17,56
5,09/08,9,Economic,Local,WIND,12,53
6,09/08,10,Economic,Local,WIND,102,203
7,09/08,11,Economic,Local,WIND,8,56
0,09/09,10,Economic,System,WIND,2,3
1,09/09,11,Economic,System,WIND,0,1
2,09/09,12,Economic,Local,WIND,0,5
0,09/10,11,Economic,Local,WIND,26,79
1,09/10,22,Economic,Local,WIND,0,3
0,09/11,7,Economic,Local,WIND,5,16.0
1,09/11,8,Economic,Local,WIND,4,15.0
2,09/11,9,Economic,Local,SOLR,10,
3,09/11,9,Economic,Local,WIND,3,
4,09/11,9,Economic,System,SOLR,51,229.0
5,09/11,9,Economic,System,WIND,14,9.0
6,09/11,10,Economic,Local,SOLR,263,369.0
7,09/11,10,Economic,Local,WIND,13,
8,09/11,11,Economic,Local,SOLR,164,238.0
9,09/11,11,Economic,Local,WIND,47,56.0
10,09/11,12,Economic,Local,SOLR,1,8.0
11,09/11,12,Economic,Local,WIND,28,59.0
12,09/11,13,Economic,Local,WIND,13,44.0
13,09/11,14,Economic,Local,WIND,54,66.0
14,09/11,15,Economic,Local,WIND,1,6.0
0,09/12,4,Economic,System,WIND,6,76.0
1,09/12,9,Economic,System,SOLR,0,0.0
2,09/12,10,Economic,Local,WIND,19,
3,09/12,10,Economic,System,WIND,53,90.0
4,09/12,11,Economic,Local,WIND,58,
5,09/12,11,Economic,System,WIND,14,83.0
6,09/12,12,Economic,Local,WIND,10,
7,09/12,12,Economic,System,WIND,67,100.0
8,09/12,14,Economic,Local,WIND,31,104.0
0,09/13,12,Economic,Local,SOLR,1,6
1,09/13,13,Economic,Local,SOLR,1,10
2,09/13,13,Economic,Local,WIND,2,24
3,09/13,14,Economic,Local,SOLR,58,270
4,09/13,14,Economic,Local,WIND,63,128
5,09/13,15,Economic,Local,SOLR,31,130
6,09/13,15,Economic,Local,WIND,103,122
7,09/13,16,Economic,Local,SOLR,23,79
8,09/13,16,Economic,Local,WIND,73,124
9,09/13,17,Economic,Local,SOLR,76,260
10,09/13,17,Economic,Local,WIND,60,119
0,09/14,10,Economic,Local,SOLR,85,330.0
1,09/14,10,Economic,Local,WIND,3,
2,09/14,11,Economic,Local,SOLR,48,105.0
3,09/14,11,Economic,Local,WIND,10,16.0
4,09/14,12,Economic,Local,SOLR,214,340.0
5,09/14,12,Economic,Local,WIND,6,12.0
6,09/14,12,SelfSchCut,Local,SOLR,0,
7,09/14,13,Economic,Local,SOLR,2,8.0
8,09/14,13,Economic,Local,WIND,2,18.0
9,09/14,16,Economic,Local,SOLR,0,2.0
0,09/15,10,Economic,Local,SOLR,46,205
1,09/15,10,Economic,Local,WIND,3,11
2,09/15,11,Economic,Local,SOLR,5,43
3,09/15,11,Economic,Local,WIND,11,14
4,09/15,12,Economic,Local,SOLR,76,173
5,09/15,12,Economic,Local,WIND,13,16
6,09/15,13,Economic,Local,SOLR,0,2
7,09/15,13,Economic,Local,WIND,1,16
8,09/15,14,Economic,Local,SOLR,5,56
9,09/15,14,Economic,Local,WIND,5,11
0,09/17,9,Economic,Local,SOLR,396,995.0
1,09/17,9,Economic,Local,WIND,6,
2,09/17,9,Economic,System,SOLR,1,
3,09/17,10,Economic,Local,SOLR,823,967.0
4,09/17,10,Economic,Local,WIND,1,0.0
5,09/17,11,Economic,Local,SOLR,724,858.0
6,09/17,11,Economic,Local,WIND,0,0.0
7,09/17,11,Economic,System,SOLR,1,8.0
8,09/17,12,Economic,Local,SOLR,723,949.0
9,09/17,12,Economic,Local,WIND,30,20.0
10,09/17,12,Economic,System,SOLR,3,
11,09/17,13,Economic,Local,SOLR,203,514.0
12,09/17,13,Economic,Local,WIND,11,31.0
13,09/17,13,Economic,System,SOLR,1,
14,09/17,14,Economic,Local,SOLR,2,13.0
15,09/17,14,Economic,Local,WIND,0,
16,09/17,21,Economic,Local,WIND,116,276.0
17,09/17,22,Economic,Local,WIND,193,200.0
18,09/17,23,Economic,Local,WIND,205,236.0
19,09/17,24,Economic,Local,WIND,183,200.0
20,09/17,24,Economic,Local,WIND,183,200.0
21,09/17,24,Economic,Local,WIND,183,200.0
22,09/17,24,Economic,Local,WIND,183,200.0
23,09/17,24,Economic,Local,WIND,183,200.0
24,09/17,24,Economic,Local,WIND,183,200.0
25,09/17,24,Economic,Local,WIND,183,200.0
26,09/17,24,Economic,Local,WIND,183,200.0
27,09/17,24,Economic,Local,WIND,183,200.0
28,09/17,24,Economic,Local,WIND,183,200.0
29,09/17,24,Economic,Local,WIND,183,200.0
0,09/18,1,Economic,Local,WIND,176,212.0
1,09/18,2,Economic,Local,WIND,158,210.0
2,09/18,3,Economic,Local,WIND,101,140.0
3,09/18,4,Economic,Local,WIND,108,162.0
4,09/18,5,Economic,Local,WIND,49,82.0
5,09/18,6,Economic,Local,WIND,174,288.0
6,09/18,7,Economic,Local,WIND,79,212.0
7,09/18,8,Economic,System,SOLR,16,103.0
8,09/18,9,Economic,System,SOLR,776,1139.0
9,09/18,9,Economic,System,WIND,2,3.0
10,09/18,10,Economic,Local,SOLR,659,
11,09/18,10,Economic,Local,WIND,1,
12,09/18,10,Economic,System,SOLR,154,923.0
13,09/18,10,Economic,System,WIND,0,0.0
14,09/18,11,Economic,Local,SOLR,702,969.0
15,09/18,11,Economic,Local,WIND,9,
16,09/18,12,Economic,Local,SOLR,281,493.0
17,09/18,12,Economic,Local,WIND,20,11.0
18,09/18,17,Economic,Local,WIND,0,0.0
19,09/18,21,Economic,Local,WIND,73,128.0
20,09/18,22,Economic,Local,WIND,61,183.0
21,09/18,23,Economic,Local,WIND,82,137.0
22,09/18,24,Economic,Local,WIND,4,18.0
0,09/19,5,Economic,Local,WIND,0,2.0
1,09/19,7,Economic,Local,WIND,11,62.0
2,09/19,9,Economic,Local,SOLR,24,75.0
3,09/19,9,Economic,Local,WIND,3,
4,09/19,10,Economic,Local,SOLR,105,145.0
5,09/19,11,Economic,Local,SOLR,128,196.0
6,09/19,12,Economic,Local,SOLR,111,248.0
7,09/19,12,Economic,Local,WIND,8,
8,09/19,13,Economic,Local,SOLR,125,191.0
9,09/19,14,Economic,Local,SOLR,89,162.0
10,09/19,14,Economic,Local,WIND,1,
11,09/19,15,Economic,Local,SOLR,15,58.0
12,09/19,15,Economic,Local,WIND,1,
13,09/19,16,Economic,Local,SOLR,53,150.0
14,09/19,17,Economic,Local,SOLR,12,70.0
0,09/20,8,Economic,Local,WIND,0,1
0,09/21,12,Economic,Local,WIND,8,99.0
1,09/21,13,Economic,Local,WIND,107,141.0
2,09/21,13,SelfSchCut,Local,SOLR,0,
3,09/21,13,SelfSchCut,Local,WIND,4,19.0
4,09/21,14,Economic,Local,WIND,144,150.0
5,09/21,14,SelfSchCut,Local,SOLR,0,0.0
6,09/21,14,SelfSchCut,Local,WIND,17,35.0
7,09/21,15,Economic,Local,WIND,48,104.0
8,09/21,15,SelfSchCut,Local,SOLR,0,0.0
9,09/21,15,SelfSchCut,Local,WIND,14,62.0
10,09/21,16,Economic,Local,WIND,0,1.0
11,09/21,17,Economic,Local,WIND,1,7.0
12,09/21,22,Economic,Local,WIND,0,1.0
